genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hnrnph1l	3	5.28032336617036e-14	-0.797808851539371	0.452	0.609	1.25217588305364e-09
ssbp4	3	5.37809815881887e-14	-1.16042983508189	0.197	0.362	1.27536219738231e-09
pdzd11	3	5.42889459761359e-14	-0.983112839884107	0.185	0.355	1.28740806487809e-09
psmb5	3	5.72717989804028e-14	-0.747731435092424	0.385	0.569	1.35814344102127e-09
dad1	3	5.82596939528352e-14	-0.526250416832776	0.807	0.906	1.38157038239753e-09
syap1	3	5.9514093063754e-14	-0.987822158871083	0.215	0.388	1.41131720291386e-09
tmed5	3	6.08375951964838e-14	-1.4779761746542	0.067	0.196	1.44270273248942e-09
hsp70l	3	6.24107035705682e-14	1.16842850621693	0.797	0.665	1.48000742447245e-09
vdac1	3	6.60804943765268e-14	-0.577854928609511	0.683	0.808	1.56703284364496e-09
rab2a	3	6.71303155296479e-14	-0.486308226879525	0.798	0.906	1.59192830247007e-09
lypla2	3	6.82503306698427e-14	-1.13119648404364	0.113	0.262	1.61848834150465e-09
cdk2ap2	3	6.85991571621561e-14	-1.50356003364291	0.092	0.231	1.62676041294337e-09
smim13	3	7.33959646719345e-14	-1.06865038765245	0.161	0.324	1.74051190623025e-09
cdc42	3	7.54753013026658e-14	-0.57143655186576	0.642	0.781	1.78982129509142e-09
dcaf13	3	7.76327088317532e-14	-1.69764065772546	0.069	0.196	1.8409820572362e-09
rps13	3	7.79957004006937e-14	-0.303264948513431	1	1	1.84959003930205e-09
eif3g	3	8.23717962999515e-14	-0.496579749319845	0.773	0.865	1.95336477745705e-09
